Response Date,Digital Survey,Digital CSAT,Issue Comment,Open Comment,Improve Experience Comment,Additional Comments
7/31/2025 10:30:00,Crate & Barrel Digital Survey,8,Great product quality,Love the design,Could improve shipping speed,Overall satisfied
7/30/2025 14:15:00,CB2 Modern Survey,6,Delivery was late,Good customer service,Better packaging needed,Price is reasonable
7/29/2025 09:45:00,Crate & Barrel Store Survey,9,Excellent service,Beautiful furniture,Nothing to improve,Will definitely shop again
7/28/2025 16:22:00,CB2 Online Experience,7,Website is confusing,Product arrived damaged,Improve return policy,Customer service helped resolve issue
7/27/2025 11:38:00,Crate & Barrel Digital Survey,5,Poor delivery experience,Quality not as expected,Need better communication,Disappointed with purchase
7/26/2025 13:50:00,CB2 Customer Feedback,8,Fast shipping,Modern designs,More color options,Happy with my purchase
7/25/2025 08:20:00,Crate & Barrel Survey,9,Amazing quality,Love the style,Keep up the good work,Highly recommend
7/24/2025 17:45:00,CB2 Digital Survey,6,Product was scratched,Average customer service,Better quality control,Mixed feelings about purchase
7/23/2025 12:15:00,Crate & Barrel Online,7,Good value for money,Nice selection,Faster checkout process,Will consider shopping again
7/22/2025 15:30:00,CB2 Store Survey,8,Helpful staff,Great showroom,More inventory available,Pleasant shopping experience
7/21/2025 10:00:00,Crate & Barrel Digital,4,Item not as described,Poor packaging,Improve product descriptions,Not satisfied
7/20/2025 14:42:00,CB2 Customer Experience,9,Perfect delivery,Beautiful design,Nothing to change,Excellent service
7/19/2025 09:18:00,Crate & Barrel Survey,7,Good customer service,Nice products,Better website navigation,Overall positive
7/18/2025 16:55:00,CB2 Digital Platform,8,Quick resolution,Trendy items,More sales events,Good experience
7/17/2025 11:25:00,Crate & Barrel Digital Survey,6,Confusing return policy,Quality is okay,Clearer policies needed,Average experience